parca_no,mevcut_r,mevcut_Q,onerilen_r,onerilen_Q,optimize_maliyet,servis_seviyesi,ortalama_stok,stoksuz_gun,hedef_servis_saglandir,r_degisimi,Q_degisimi,mevcut_maliyet,maliyet_tasarrufu,tasarruf_orani
Part-1,795126,1619,591341,294637,19552675.35,1.0,474201.036,0.0,True,-203785,293018,490421955.6464,470869280.3,96.01
Part-2,156680,2324,208194,68022,21126923.03,1.0,149759.0629,0.0,True,51514,65698,797759782.4385,776632859.41,97.35
Part-3,152975,4963,166085,75731,1474610.89,1.0,111016.7461,0.0,True,13110,70768,35969802.9214,34495192.03,95.9
Part-4,169728,2293,230738,85419,5772831.78,1.0,136406.1444,0.0,True,61010,83126,324397804.9939,318624973.21,98.22
Part-5,134780,371,146931,99109,85276918.65,1.0,153649.3289,0.0,True,12151,98738,7391729561.3427,7306452642.69,98.85
Part-6,95862,1542,98992,31481,1333696.92,1.0,60653.6441,0.0,True,3130,29939,39721207.1342,38387510.21,96.64
Part-7,92970,4354,107289,48275,185316.09,1.0,77247.3921,0.0,True,14319,43921,2406907.9458,2221591.86,92.3
Part-8,96592,2252,111567,34016,1423329.75,1.0,82683.3435,0.0,True,14975,31764,17914684.1321,16491354.38,92.05
Part-9,65294,2657,55110,31958,343720.47,1.0,49157.5716,0.0,True,-10184,29301,1918909.7722,1575189.3,82.09
Part-10,87219,2561,80295,62284,1043817.96,0.999,70582.2494,0.1,True,-6924,59723,3794728.8152,2750910.86,72.49
Part-11,151066,512,134626,71253,42557650.61,0.9902,92723.3632,0.7,True,-16440,70741,1450035674.7895,1407478024.18,97.07
Part-12,123079,2376,116634,82111,1541821.51,1.0,104945.2978,0.0,True,-6445,79735,18291937.972,16750116.46,91.57
Part-13,53059,2665,71462,18681,1506309.04,0.9916,43535.4108,0.8,True,18403,16016,6491098.7904,4984789.75,76.79
Part-14,43565,856,52162,15069,2397588.68,0.9901,28647.0479,1.2,True,8597,14213,44578555.8112,42180967.13,94.62
Part-15,33289,919,33087,21553,1075886.62,0.9996,28330.4835,0.1,True,-202,20634,11276842.8638,10200956.24,90.46
Part-16,28715,991,38827,22008,2005904.1,1.0,39204.9618,0.0,True,10112,21017,51433752.8851,49427848.79,96.1
Part-17,27734,500,36469,13286,2347602.04,1.0,23569.6554,0.0,True,8735,12786,159162058.0914,156814456.05,98.53
Part-18,33585,749,31326,21368,615616.15,0.9999,21503.9566,0.3,True,-2259,20619,11973519.8043,11357903.65,94.86
Part-19,14468,1062,20989,13688,353047.83,1.0,23094.9287,0.0,True,6521,12626,3732907.1384,3379859.31,90.54
Part-20,17799,104,24138,6471,9830209.85,1.0,16662.1532,0.0,True,6339,6367,376076601.536,366246391.69,97.39
Part-21,11757,994,14429,4369,218770.96,0.9976,9612.0675,0.1,True,2672,3375,1083081.9427,864310.98,79.8
Part-22,24039,666,34306,8867,1330742.33,0.9883,20887.4793,1.1,True,10267,8201,8428693.3285,7097951.0,84.21
Part-23,23544,632,23751,18623,469437.67,1.0,21540.9683,0.0,True,207,17991,2442600.6774,1973163.01,80.78
Part-24,19720,458,24759,6002,2241680.31,1.0,16831.2936,0.0,True,5039,5544,55289849.8942,53048169.58,95.95
Part-25,19246,682,18486,6400,412415.49,0.9945,12048.2859,0.3,True,-760,5718,901959.2604,489543.77,54.28
Part-26,30799,607,21387,24956,2346058.51,1.0,23584.2966,0.0,True,-9412,24349,23191780.2924,20845721.78,89.88
Part-27,21981,526,23423,13799,1540477.16,0.99,17019.2521,0.8,True,1442,13273,7711414.7143,6170937.55,80.02
Part-28,8452,538,13276,4733,334407.34,1.0,12634.5278,0.0,True,4824,4195,3062024.1705,2727616.83,89.08
Part-29,23086,250,19820,25819,3499119.31,0.9959,20751.3857,0.1,True,-3266,25569,45229445.8517,41730326.54,92.26
Part-30,17698,881,22647,6140,228341.05,1.0,13937.2845,0.0,True,4949,5259,1600679.6332,1372338.58,85.73
Part-31,5299,905,5446,3894,98436.38,1.0,5096.8407,0.0,True,147,2989,109985.5108,11549.13,10.5
Part-32,13971,287,16936,4502,539314.05,1.0,11683.2924,0.0,True,2965,4215,9179899.9201,8640585.87,94.13
Part-33,10353,1466,12554,4794,13432.86,1.0,7639.2354,0.1,True,2201,3328,126320.4848,112887.62,89.37
Part-34,18392,1260,17687,13720,235917.59,1.0,15226.1835,0.0,True,-705,12460,858802.4311,622884.84,72.53
Part-35,16313,3298,22361,6678,116578.23,1.0,14935.4874,0.0,True,6048,3380,710492.9331,593914.7,83.59
Part-36,11285,806,10762,6721,416265.58,0.9902,8218.1532,0.7,True,-523,5915,825346.4356,409080.86,49.56
Part-37,4854,286,7703,3782,726610.78,1.0,7672.7876,0.0,True,2849,3496,35969220.927,35242610.15,97.98
Part-38,5926,435,7611,2515,260396.83,1.0,5845.3844,0.0,True,1685,2080,2646804.8761,2386408.05,90.16
Part-39,57695,1888,57880,22346,415517.39,1.0,39113.3523,0.0,True,185,20458,3110920.9646,2695403.57,86.64
Part-40,8578,205,8153,2097,277979.07,1.0,6719.5554,0.0,True,-425,1892,1261407.9091,983428.84,77.96
Part-41,8569,199,8864,2751,1256535.5,0.9919,5190.1919,0.4,True,295,2552,10041546.6471,8785011.15,87.49
Part-42,9258,894,12124,3388,310887.67,0.9999,7972.9239,0.1,True,2866,2494,1847281.3998,1536393.73,83.17
Part-43,26665,938,29168,9207,1266395.94,0.9944,15600.764,0.3,True,2503,8269,5094077.2128,3827681.27,75.14
Part-44,14309,79,13983,4903,8236073.19,1.0,9907.626,0.0,True,-326,4824,203304643.7852,195068570.6,95.95
Part-45,15410,617,18875,5112,341963.65,1.0,12457.9993,0.0,True,3465,4495,3594337.3511,3252373.7,90.49
Part-46,5903,271,7784,2386,295202.73,0.992,4652.6715,0.8,True,1881,2115,1112737.8569,817535.13,73.47
Part-47,4947,618,4702,4584,61549.33,1.0,4901.5222,0.0,True,-245,3966,266432.0794,204882.75,76.9
Part-48,5402,337,5970,2102,140224.23,0.9987,4837.73,0.1,True,568,1765,475066.7855,334842.56,70.48
Part-49,6451,2175,8799,2695,37096.94,0.9953,5655.3782,0.2,True,2348,520,128261.995,91165.06,71.08
Part-50,10501,135,12094,3434,1700151.49,0.9959,7388.4546,0.2,True,1593,3299,52591072.0386,50890920.55,96.77
