parca_no,aylik_ort,aylik_std,tedarik_suresi,birim_maliyet,siparis_maliyeti,elde_tutma_maliyeti_aylik,stoksuz_kalma_cezasi,mevcut_SS,mevcut_r,mevcut_Q,baslangic_stok
Part-1,275878.2,248115.1,20,493.38,50,9.6209,1072.52,399524,795126,1619,454858
Part-2,109678.8,51557.8,20,1586.1,500,32.9116,7212.16,83020,156680,2324,214374
Part-3,143525.4,29535.6,14,183.9,200,3.0957,370.28,39791,152975,4963,165260
Part-4,148623.1,31288.0,20,491.59,150,9.8728,1151.63,50381,169728,2293,219578
Part-5,170203.0,59719.4,7,7969.33,75,129.5016,17262.32,56890,134780,371,272632
Part-6,58173.3,16538.1,20,234.77,150,5.1258,807.02,26630,95862,1542,92015
Part-7,86417.5,23378.1,14,34.13,100,0.5575,148.54,31495,92970,4354,121111
Part-8,67683.1,30544.8,14,170.81,100,4.014,433.11,41151,96592,2252,90566
Part-9,32815.1,35241.3,14,113.59,150,1.6281,490.08,47478,65294,2657,36977
Part-10,40179.3,29758.0,20,161.69,200,3.1799,413.08,47917,87219,2561,55919
Part-11,73008.7,37021.0,20,1694.65,100,32.1984,8425.14,59613,151066,512,84884
Part-12,58700.4,41210.5,20,216.46,100,3.4273,987.15,66359,123079,2376,101808
Part-13,34520.0,13871.3,20,165.81,150,2.1279,698.32,22336,53059,2665,41729
Part-14,29960.4,8742.2,20,322.18,75,4.6179,1216.25,14077,43565,856,31715
Part-15,24640.3,8877.1,14,343.27,200,8.4387,936.32,11959,33289,919,38251
Part-16,40480.1,17537.1,7,491.97,200,11.9303,1159.97,16706,28715,991,64575
Part-17,22958.0,6034.2,20,1659.25,150,23.2295,5609.79,9716,27734,500,42975
Part-18,22450.6,5337.7,20,377.52,75,6.4808,1211.08,8595,33585,749,35404
Part-19,13704.0,8166.6,7,194.17,150,3.5598,781.23,7780,14468,1062,18438
Part-20,11918.9,6027.4,20,7440.62,75,137.6515,18677.96,9706,17799,104,21490
Part-21,7411.6,3657.9,20,217.77,200,3.5388,802.78,5890,11757,994,11416
Part-22,16439.6,7557.2,20,212.29,100,5.0773,866.15,12169,24039,666,17743
Part-23,12233.8,8049.6,20,213.2,100,5.0813,617.62,12962,23544,632,19156
Part-24,11964.5,5137.8,20,2434.38,300,31.0383,10565.31,8273,19720,458,22828
Part-25,9864.6,4677.5,20,205.94,100,4.2561,678.68,7532,19246,682,13774
Part-26,15339.0,13325.1,14,1729.58,200,23.2052,4303.01,17952,30799,607,19884
Part-27,12269.5,5389.9,20,491.46,150,9.8292,1270.09,8679,21981,526,14030
Part-28,8364.5,6328.3,7,264.06,100,6.1614,749.06,6029,8452,538,9631
Part-29,10937.4,5694.9,20,1477.27,75,30.4071,3655.33,9170,23086,250,15671
Part-30,12233.2,3624.6,20,206.78,200,3.791,762.76,5836,17698,881,19520
Part-31,7730.2,1778.6,7,181.02,200,4.435,877.48,1694,5299,905,8353
Part-32,8290.1,3090.4,20,492.74,75,10.7582,2310.07,4976,13971,287,16079
Part-33,9086.0,2130.2,20,25.13,75,0.3916,74.67,3430,10353,1466,15947
Part-34,8851.2,5108.4,20,207.99,200,3.6052,955.51,8226,18392,1260,14044
Part-35,11651.3,3814.4,20,79.91,500,1.758,388.53,6142,16313,3298,21304
Part-36,5290.8,3190.8,20,364.51,200,4.6475,1050.7,5138,11285,806,5715
Part-37,7168.8,3621.1,7,1654.75,150,22.0633,7803.56,3450,4854,286,10587
Part-38,5022.4,2520.5,14,442.9,300,10.2974,2211.08,3396,5926,435,8187
Part-39,34774.0,9666.9,20,190.37,100,2.4748,836.3,15566,57695,1888,63590
Part-40,4140.9,5008.3,14,458.99,50,9.6388,1455.31,6747,8578,205,7385
Part-41,5062.0,1528.3,20,1042.14,100,17.1953,3986.84,2461,8569,199,6465
Part-42,6743.3,2222.4,20,386.73,500,8.8303,1195.99,3579,9258,894,13088
Part-43,17938.2,4592.6,20,313.46,300,7.2357,1563.5,7395,26665,938,20169
Part-44,7613.6,3485.5,20,7943.71,50,193.9589,17504.44,5612,14309,79,14277
Part-45,10185.1,3260.9,20,466.86,150,6.3804,2184.55,5251,15410,617,20074
Part-46,4099.6,1485.6,20,389.55,50,6.9145,866.22,2392,5903,271,4826
Part-47,3267.0,2482.9,14,147.58,200,2.9024,313.84,3345,4947,618,5626
Part-48,2985.4,3442.9,14,236.91,100,5.6661,1141.86,4638,5402,337,3106
Part-49,4352.8,1702.0,20,38.49,300,0.6094,177.13,2741,6451,2175,6118
Part-50,6634.0,2037.7,20,1949.6,50,26.1571,6013.9,3281,10501,135,10059
Part-51,4841.0,4210.3,20,67.01,200,1.0052,326.51,6780,13921,1781,7652
Part-52,5131.6,2352.1,20,327.51,100,6.1135,1501.82,3787,10341,482,9934
Part-53,15633.8,4476.9,20,337.42,100,7.0858,1587.88,7209,25296,841,26144
Part-54,8969.8,4377.0,20,165.69,150,3.5071,627.19,7048,18005,1088,13287
Part-55,3867.3,1578.6,20,474.59,100,6.3674,2313.62,2542,6843,377,6999
Part-56,3625.3,1578.2,14,3432.3,100,75.5106,15200.79,2126,4167,123,7071
Part-57,4382.0,1472.6,20,2826.11,150,58.6418,13621.45,2371,7908,120,4479
Part-58,3030.0,3456.5,20,459.69,150,8.0829,1307.6,5566,9312,287,6007
Part-59,3803.0,1963.1,14,428.64,50,8.4299,1541.51,2645,5450,164,4131
Part-60,3567.2,1622.9,20,347.65,150,7.6773,1600.23,2613,5109,346,6472
