toplam_maliyet,siparis_maliyeti_toplam,elde_tutma_toplam,stoksuz_ceza_toplam,servis_seviyesi,ortalama_stok,stoksuz_gun_sayisi,toplam_talep,karsilanan_talep,parca_no,kullanilan_r,kullanilan_Q,senaryo
490421955.6464,4500.0,5894104.6405,484523351.006,0.5888,142948.2775,10.0,1016795.2039,565033.6042,Part-1,795126,1619,mevcut
797759782.4385,37600.0,9390373.6786,788331808.7599,0.7834,66574.9217,8.0,440812.6615,331506.7381,Part-2,156680,2324,mevcut
35969802.9214,17380.0,542115.7461,35410307.1753,0.8543,40861.0893,14.0,618237.8483,522606.6849,Part-3,152975,4963,mevcut
324397804.9939,12330.0,1807150.4984,322578324.4954,0.5703,42710.1177,37.1,641994.1906,361888.3193,Part-4,169728,2293,mevcut
7391729561.3427,5445.0,29320988.4536,7362403127.8891,0.4241,52829.9571,39.0,723349.267,296847.8971,Part-5,134780,371,mevcut
39721207.1342,13500.0,540017.1602,39167689.974,0.8227,24582.3099,11.6,247141.4055,198607.6765,Part-6,95862,1542,mevcut
2406907.9458,7010.0,103144.8522,2296753.0936,0.9648,43169.7438,2.8,360565.4092,345103.2233,Part-7,92970,4354,mevcut
17914684.1321,8600.0,600197.1778,17305886.9543,0.8799,34889.3892,4.3,276451.6338,236494.3782,Part-8,96592,2252,mevcut
1918909.7722,7995.0,270872.109,1640042.6632,0.9818,38820.3993,0.4,120945.5343,117599.0548,Part-9,65294,2657,mevcut
3794728.8152,12760.0,600264.7184,3181704.0968,0.9643,44045.9661,0.8,148087.5239,140385.1319,Part-10,87219,2561,mevcut
1450035674.7895,9000.0,1952226.8086,1448074447.9809,0.4318,14147.274,23.5,292094.6682,120219.2515,Part-11,151066,512,mevcut
18291937.972,7840.0,915069.9219,17369028.0501,0.9419,62298.6943,1.1,216350.1327,198755.0073,Part-12,123079,2376,mevcut
6491098.7904,8085.0,209135.8644,6273877.926,0.9493,22932.6417,3.3,144011.3034,135027.0584,Part-13,53059,2665,mevcut
44578555.8112,6750.0,106893.4516,44464912.3596,0.7317,5401.1142,18.7,127157.3272,90598.3037,Part-14,43565,856,mevcut
11276842.8638,16080.0,510396.2245,10750366.6393,0.9095,14112.6539,4.6,104787.6916,93306.1825,Part-15,33289,919,mevcut
51433752.8851,13740.0,844903.6791,50575109.206,0.7704,16524.6634,9.9,166313.1489,122712.7892,Part-16,28715,991,mevcut
159162058.0914,11235.0,1021128.8895,158129694.2019,0.7243,10256.9322,18.5,98513.3196,70325.1531,Part-17,27734,500,mevcut
11973519.8043,6600.0,277025.8733,11689893.931,0.9034,9973.9801,7.6,93948.0258,84295.5718,Part-18,33585,749,mevcut
3732907.1384,6300.0,161847.6993,3564759.4391,0.9238,10608.5913,2.3,53821.1488,49258.1399,Part-19,14468,1062,mevcut
376076601.536,6127.5,3202949.6769,372867524.3591,0.6101,5429.3264,15.8,47737.5627,27774.5943,Part-20,17799,104,mevcut
1083081.9427,5820.0,95114.6949,982147.2479,0.9666,6271.4561,1.5,29632.1277,28408.695,Part-21,11757,994,mevcut
8428693.3285,8580.0,142788.772,8277324.5564,0.8799,6562.0271,5.4,66728.3586,57171.9024,Part-22,24039,666,mevcut
2442600.6774,6770.0,257670.5196,2178160.1577,0.9436,11832.2322,1.0,45711.4606,42184.7611,Part-23,23544,632,mevcut
55289849.8942,22860.0,1205522.2998,54061467.5944,0.916,9062.627,3.3,49267.7721,44150.888,Part-24,19720,458,mevcut
901959.2604,6300.0,166680.1844,728979.076,0.9787,9137.9533,1.2,40340.6065,39266.4934,Part-25,19246,682,mevcut
23191780.2924,17280.0,1404999.75,21769500.5424,0.9333,14127.5781,1.4,56534.4476,51475.3144,Part-26,30799,607,mevcut
7711414.7143,13080.0,249082.6559,7449252.0584,0.9029,5912.9213,4.6,50076.7424,44211.6053,Part-27,21981,526,mevcut
