parca_no,tahmin_tarihi,tahmin_ayi,tahmin,birim_maliyet,tedarik_suresi,siparis_maliyeti,elde_tutma_maliyeti_aylik,stoksuz_kalma_cezasi,mevcut_Q,mevcut_r,mevcut_SS,baslangic_stok
Part-1,2025-01-01,1,224781.99,493.38,20,50,9.6209,1072.52,1619,795126,399524,454858
Part-1,2025-02-01,2,294846.75,493.38,20,50,9.6209,1072.52,1619,795126,399524,454858
Part-1,2025-03-01,3,219153.59,493.38,20,50,9.6209,1072.52,1619,795126,399524,454858
Part-10,2025-01-01,1,32730.42,161.69,20,200,3.1799,413.08,2561,87219,47917,55919
Part-10,2025-02-01,2,42901.43,161.69,20,200,3.1799,413.08,2561,87219,47917,55919
Part-10,2025-03-01,3,21924.14,161.69,20,200,3.1799,413.08,2561,87219,47917,55919
Part-100,2025-01-01,1,2043.83,2392.59,20,150,35.4901,9558.32,157,9468,4346,5294
Part-100,2025-02-01,2,2975.35,2392.59,20,150,35.4901,9558.32,157,9468,4346,5294
Part-100,2025-03-01,3,1564.51,2392.59,20,150,35.4901,9558.32,157,9468,4346,5294
Part-1000,2025-01-01,1,1.18,149.15,14,100,2.461,574.06,44,53,43,31
Part-1000,2025-02-01,2,0.97,149.15,14,100,2.461,574.06,44,53,43,31
Part-1000,2025-03-01,3,31.86,149.15,14,100,2.461,574.06,44,53,43,31
Part-1001,2025-01-01,1,25.32,86.79,7,300,1.8588,319.86,114,55,32,66
Part-1001,2025-02-01,2,20.06,86.79,7,300,1.8588,319.86,114,55,32,66
Part-1001,2025-03-01,3,43.33,86.79,7,300,1.8588,319.86,114,55,32,66
Part-1002,2025-01-01,1,1.87,5658.64,14,150,106.5711,26888.27,7,95,73,18
Part-1002,2025-02-01,2,3.05,5658.64,14,150,106.5711,26888.27,7,95,73,18
Part-1002,2025-03-01,3,0.88,5658.64,14,150,106.5711,26888.27,7,95,73,18
Part-1003,2025-01-01,1,0.52,263.3,20,100,4.893,703.2,28,94,71,17
Part-1003,2025-02-01,2,0.56,263.3,20,100,4.893,703.2,28,94,71,17
Part-1003,2025-03-01,3,176.87,263.3,20,100,4.893,703.2,28,94,71,17
Part-1004,2025-01-01,1,141.18,3863.98,20,100,55.7057,14245.44,28,299,143,274
Part-1004,2025-02-01,2,97.65,3863.98,20,100,55.7057,14245.44,28,299,143,274
Part-1004,2025-03-01,3,40.07,3863.98,20,100,55.7057,14245.44,28,299,143,274
Part-1005,2025-01-01,1,48.89,4268.46,14,100,72.2081,15487.46,14,55,29,81
Part-1005,2025-02-01,2,93.27,4268.46,14,100,72.2081,15487.46,14,55,29,81
Part-1005,2025-03-01,3,33.95,4268.46,14,100,72.2081,15487.46,14,55,29,81
Part-1006,2025-01-01,1,31.69,278.6,20,500,6.8257,625.83,120,177,107,98
Part-1006,2025-02-01,2,126.46,278.6,20,500,6.8257,625.83,120,177,107,98
Part-1006,2025-03-01,3,90.52,278.6,20,500,6.8257,625.83,120,177,107,98
Part-1007,2025-01-01,1,84.32,395.7,14,200,6.628,1897.85,73,157,83,81
Part-1007,2025-02-01,2,11.11,395.7,14,200,6.628,1897.85,73,157,83,81
Part-1007,2025-03-01,3,184.44,395.7,14,200,6.628,1897.85,73,157,83,81
Part-1008,2025-01-01,1,1.67,399.63,20,100,7.9593,1638.76,24,64,45,21
Part-1008,2025-02-01,2,1.05,399.63,20,100,7.9593,1638.76,24,64,45,21
Part-1008,2025-03-01,3,0.97,399.63,20,100,7.9593,1638.76,24,64,45,21
Part-1009,2025-01-01,1,193.04,1062.3,7,75,14.0755,4954.9,33,152,104,245
Part-1009,2025-02-01,2,99.76,1062.3,7,75,14.0755,4954.9,33,152,104,245
Part-1009,2025-03-01,3,84.9,1062.3,7,75,14.0755,4954.9,33,152,104,245
Part-101,2025-01-01,1,1561.27,31.18,20,100,0.621,78.95,605,2962,933,2326
Part-101,2025-02-01,2,750.19,31.18,20,100,0.621,78.95,605,2962,933,2326
Part-101,2025-03-01,3,1713.52,31.18,20,100,0.621,78.95,605,2962,933,2326
Part-1010,2025-01-01,1,1.9,147.7,20,75,1.9693,730.76,50,136,117,43
Part-1010,2025-02-01,2,1.14,147.7,20,75,1.9693,730.76,50,136,117,43
Part-1010,2025-03-01,3,0.66,147.7,20,75,1.9693,730.76,50,136,117,43
Part-1011,2025-01-01,1,37.01,1127.59,20,100,20.1087,3877.74,19,136,96,93
Part-1011,2025-02-01,2,44.35,1127.59,20,100,20.1087,3877.74,19,136,96,93
Part-1011,2025-03-01,3,87.7,1127.59,20,100,20.1087,3877.74,19,136,96,93
Part-1012,2025-01-01,1,35.24,403.7,7,100,8.1076,1780.71,27,24,14,26
Part-1012,2025-02-01,2,8.71,403.7,7,100,8.1076,1780.71,27,24,14,26
Part-1012,2025-03-01,3,18.95,403.7,7,100,8.1076,1780.71,27,24,14,26
Part-1013,2025-01-01,1,1.03,5533.68,20,100,94.9948,20655.45,10,91,53,36
Part-1013,2025-02-01,2,62.38,5533.68,20,100,94.9948,20655.45,10,91,53,36
Part-1013,2025-03-01,3,4.31,5533.68,20,100,94.9948,20655.45,10,91,53,36
Part-1014,2025-01-01,1,6.32,7549.5,20,300,111.3551,37229.37,33,1123,650,642
Part-1014,2025-02-01,2,648.45,7549.5,20,300,111.3551,37229.37,33,1123,650,642
Part-1014,2025-03-01,3,1.26,7549.5,20,300,111.3551,37229.37,33,1123,650,642
Part-1015,2025-01-01,1,1.2,132.43,20,500,2.8693,363.08,116,68,40,44
Part-1015,2025-02-01,2,70.14,132.43,20,500,2.8693,363.08,116,68,40,44
Part-1015,2025-03-01,3,12.68,132.43,20,500,2.8693,363.08,116,68,40,44
Part-1016,2025-01-01,1,80.43,227.68,20,100,3.2444,464.8,87,236,144,132
Part-1016,2025-02-01,2,215.92,227.68,20,100,3.2444,464.8,87,236,144,132
Part-1016,2025-03-01,3,5.49,227.68,20,100,3.2444,464.8,87,236,144,132
Part-1017,2025-01-01,1,1.9,273.18,20,100,5.6912,698.75,22,52,38,39
Part-1017,2025-02-01,2,1.33,273.18,20,100,5.6912,698.75,22,52,38,39
Part-1017,2025-03-01,3,0.84,273.18,20,100,5.6912,698.75,22,52,38,39
Part-1018,2025-01-01,1,0.87,263.66,20,200,6.4597,628.58,38,95,64,22
Part-1018,2025-02-01,2,1.06,263.66,20,200,6.4597,628.58,38,95,64,22
Part-1018,2025-03-01,3,41.11,263.66,20,200,6.4597,628.58,38,95,64,22
Part-1019,2025-01-01,1,51.89,4605.96,20,100,84.8264,15249.67,10,99,73,31
Part-1019,2025-02-01,2,1.99,4605.96,20,100,84.8264,15249.67,10,99,73,31
Part-1019,2025-03-01,3,1.11,4605.96,20,100,84.8264,15249.67,10,99,73,31
Part-102,2025-01-01,1,456.08,46.26,14,200,0.6785,149.13,1476,5182,2277,4235
Part-102,2025-02-01,2,1601.63,46.26,14,200,0.6785,149.13,1476,5182,2277,4235
Part-102,2025-03-01,3,2119.58,46.26,14,200,0.6785,149.13,1476,5182,2277,4235
Part-1020,2025-01-01,1,0.84,6343.7,20,75,95.1555,14160.6,38,9983,8498,2699
Part-1020,2025-02-01,2,323.06,6343.7,20,75,95.1555,14160.6,38,9983,8498,2699
Part-1020,2025-03-01,3,6.08,6343.7,20,75,95.1555,14160.6,38,9983,8498,2699
Part-1021,2025-01-01,1,0.51,814.94,20,75,18.7436,2168.22,12,83,62,19
Part-1021,2025-02-01,2,0.56,814.94,20,75,18.7436,2168.22,12,83,62,19
Part-1021,2025-03-01,3,0.56,814.94,20,75,18.7436,2168.22,12,83,62,19
Part-1022,2025-01-01,1,96.96,150.28,20,100,2.8303,343.96,36,104,65,25
Part-1022,2025-02-01,2,2.3,150.28,20,100,2.8303,343.96,36,104,65,25
Part-1022,2025-03-01,3,1.2,150.28,20,100,2.8303,343.96,36,104,65,25
Part-1023,2025-01-01,1,34.89,175.99,20,50,4.2238,608.97,49,93,52,66
Part-1023,2025-02-01,2,34.72,175.99,20,50,4.2238,608.97,49,93,52,66
Part-1023,2025-03-01,3,31.72,175.99,20,50,4.2238,608.97,49,93,52,66
Part-1024,2025-01-01,1,0.6,161.0,14,300,3.4615,450.85,163,429,304,96
Part-1024,2025-02-01,2,0.93,161.0,14,300,3.4615,450.85,163,429,304,96
Part-1024,2025-03-01,3,0.56,161.0,14,300,3.4615,450.85,163,429,304,96
